FIELD1,FIELD2,FIELD3
FMP,2347,1
FMP,2348,6
FMP,2349,6
FMP,2350,5
FMP,2351,5
FMP,2352,5
FMP,2353,6
FMP,2354,6
FMP,2355,3
FMP,2356,3
FMP,2357,3
FMP,2360,4
FMP,2361,4
FMP,2362,4
FMP,2363,4
FMP,2364,5
FMP,2365,5
FMP,2366,3
FMP,2367,3
FMP,2368,3
FMP,2369,1
FMP,2370,3
FMP,2371,3
FMP,2372,7
FMP,2373,1
FMP,2374,1
FMP,2375,5
FMP,2376,5
FMP,2377,7
FMP,2378,7
FMP,2379,2
FMP,2380,2
FMP,2381,1
FMP,2382,2
FMP,2383,1
FMP,2384,7
FMP,2385,7
FMP,2386,1
FMP,2387,7
FMP,2388,7
FMP,2389,2
FMP,2390,2
FMP,2391,3
FMP,2392,1
FMP,2393,1
FMP,2394,1
FMP,2395,2
FMP,2396,5
FMP,2397,5
FMP,2398,6
FMP,2399,6
FMP,2400,6
FMP,2401,6
FMP,2402,6
FMP,2405,4
FMP,2406,4
FOR,2407,1
FOR,2408,1
FOR,2409,1
FOR,2410,3
FOR,2411,1
FOR,2412,1
FOR,2413,1
FOR,2414,1
FOR,2415,1
FOR,2416,1
FOR,2417,1
FOR,2418,1
FOR,2419,2
FOR,2420,2
FOR,2421,2
FOR,2422,2
FOR,2423,2
FOR,2424,2
FOR,2425,3
FOR,2426,3
FOR,2427,3
FOR,2428,1
FOR,2429,2
FOR,2430,2
FOR,2431,3
FOR,2432,3
FOR,2433,3
FOR,2434,3
FOR,2435,3
FOR,2436,3
FOR,2437,3
FOR,2438,2
FOR,2439,2
FOR,2440,3
FOR,2441,3
FOR,2442,3
FOR,2445,1
FOR,2446,3
FOR,2447,3
FOR,2449,2
FOR,2450,2
FOR,2451,3
FOR,2452,2
FOR,2453,2
FOR,2454,2
FOR,2455,3
FOR,2461,2
FOR,2463,2
FOR,2464,1
FOR,2465,3
FOR,2466,1
FOR,2467,1
FOR,2468,1
FOR,2469,1
FOR,2470,1
FOR,2471,1
FOR,2472,1
FOR,2473,2
FOR,2474,2
FOR,2475,3
FOR,2476,3
FOR,2477,2
FOR,2478,2
GRIT,2479,1
GRIT,2480,1
GRIT,2481,1
GRIT,2482,1
GRIT,2483,1
GRIT,2484,1
GRIT,2485,1
GRIT,2486,1
GRIT,2487,1
GRIT,2488,1
GRIT,2489,1
GRIT,2490,1
GRIT,2491,1
GRIT,2492,1
GRIT,2493,1
GRIT,2494,1
GRIT,2495,1
GRIT,2496,1
GRIT,2497,1
GRIT,2498,1
GRIT,2499,1
GRIT,2500,1
GRIT,2501,1
GRIT,2502,1
GRIT,2503,1
GRIT,2504,1
GRIT,2505,1
GRIT,2506,1
GRIT,2507,1
GRIT,2508,1
GRIT,2509,1
GRIT,2510,1
GRIT,2512,1
GRIT,2513,1
GRIT,2514,1
GRIT,2515,1
GRIT,2516,1
GRIT,2517,1
HTOR,2518,1
HTOR,2519,1
HTOR,2520,5
HTOR,2521,5
HTOR,2522,1
HTOR,2523,1
HTOR,2524,1
HTOR,2525,2
HTOR,2526,3
HTOR,2527,3
HTOR,2528,4
HTOR,2529,1
HTOR,2530,1
HTOR,2531,1
HTOR,2532,2
HTOR,2533,2
HTOR,2534,5
HTOR,2535,5
HTOR,2536,5
HTOR,2537,4
HTOR,2538,4
HTOR,2539,3
HTOR,2540,3
HTOR,2541,5
HTOR,2542,5
HTOR,2543,5
HTOR,2545,5
HTOR,2546,5
HTOR,2547,4
HTOR,2548,4
HTOR,2549,4
HTOR,2550,3
HTOR,2551,3
HTOR,2554,2
HTOR,2555,2
HTOR,2556,2
HTOR,2557,1
HTOR,2558,1
HTOR,2559,2
HTOR,2560,2
HTOR,2561,4
HTOR,2562,2
HTOR,2563,2
HTOR,2564,2
HTOR,2565,3
HTOR,2566,3
HTOR,2567,4
HTOR,2568,4
HTOR,2569,2
HTOR,2570,2
HTOR,2571,4
HTOR,2572,4
HTOR,2573,5
